
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-0.0665283μm	74.4579μm	1057.42μm

theta = -0.135079	 SumSqErr = 1379.55
theta = -0.134979	 SumSqErr = 1377.52
theta = -0.134879	 SumSqErr = 1375.49
theta = -0.134779	 SumSqErr = 1373.46
theta = -0.134679	 SumSqErr = 1371.43
theta = -0.134579	 SumSqErr = 1369.4
theta = -0.134479	 SumSqErr = 1367.37
theta = -0.134379	 SumSqErr = 1365.34
theta = -0.134279	 SumSqErr = 1363.32
theta = -0.134179	 SumSqErr = 1361.3
theta = -0.134079	 SumSqErr = 1359.28
theta = -0.133979	 SumSqErr = 1357.26
theta = -0.133879	 SumSqErr = 1355.24
theta = -0.133779	 SumSqErr = 1353.22
theta = -0.133679	 SumSqErr = 1351.21
theta = -0.133579	 SumSqErr = 1349.19
theta = -0.133479	 SumSqErr = 1347.18
theta = -0.133379	 SumSqErr = 1345.17
theta = -0.133279	 SumSqErr = 1343.16
theta = -0.133179	 SumSqErr = 1341.16
theta = -0.133079	 SumSqErr = 1339.15
theta = -0.132979	 SumSqErr = 1337.14
theta = -0.132879	 SumSqErr = 1335.14
theta = -0.132779	 SumSqErr = 1333.14
theta = -0.132679	 SumSqErr = 1331.14
theta = -0.132579	 SumSqErr = 1329.14
theta = -0.132479	 SumSqErr = 1327.14
theta = -0.132379	 SumSqErr = 1325.15
theta = -0.132279	 SumSqErr = 1323.15
theta = -0.132179	 SumSqErr = 1321.16
theta = -0.132079	 SumSqErr = 1319.17
theta = -0.131979	 SumSqErr = 1317.18
theta = -0.131879	 SumSqErr = 1315.19
theta = -0.131779	 SumSqErr = 1313.2
theta = -0.131679	 SumSqErr = 1311.22
theta = -0.131579	 SumSqErr = 1309.24
theta = -0.131479	 SumSqErr = 1307.25
theta = -0.131379	 SumSqErr = 1305.27
theta = -0.131279	 SumSqErr = 1303.29
theta = -0.131179	 SumSqErr = 1301.32
theta = -0.131079	 SumSqErr = 1299.34
theta = -0.130979	 SumSqErr = 1297.36
theta = -0.130879	 SumSqErr = 1295.39
theta = -0.130779	 SumSqErr = 1293.42
theta = -0.130679	 SumSqErr = 1291.45
theta = -0.130579	 SumSqErr = 1289.48
theta = -0.130479	 SumSqErr = 1287.51
theta = -0.130379	 SumSqErr = 1285.55
theta = -0.130279	 SumSqErr = 1283.58
theta = -0.130179	 SumSqErr = 1281.62
theta = -0.130079	 SumSqErr = 1279.66
theta = -0.129979	 SumSqErr = 1277.7
theta = -0.129879	 SumSqErr = 1275.74
theta = -0.129779	 SumSqErr = 1273.78
theta = -0.129679	 SumSqErr = 1271.83
theta = -0.129579	 SumSqErr = 1269.88
theta = -0.129479	 SumSqErr = 1267.92
theta = -0.129379	 SumSqErr = 1265.97
theta = -0.129279	 SumSqErr = 1264.02
theta = -0.129179	 SumSqErr = 1262.08
theta = -0.129079	 SumSqErr = 1260.13
theta = -0.128979	 SumSqErr = 1258.18
theta = -0.128879	 SumSqErr = 1256.24
theta = -0.128779	 SumSqErr = 1254.3
theta = -0.128679	 SumSqErr = 1252.36
theta = -0.128579	 SumSqErr = 1250.42
theta = -0.128479	 SumSqErr = 1248.48
theta = -0.128379	 SumSqErr = 1246.55
theta = -0.128279	 SumSqErr = 1244.61
theta = -0.128179	 SumSqErr = 1242.68
theta = -0.128079	 SumSqErr = 1240.75
theta = -0.127979	 SumSqErr = 1238.82
theta = -0.127879	 SumSqErr = 1236.89
theta = -0.127779	 SumSqErr = 1234.96
theta = -0.127679	 SumSqErr = 1233.04
theta = -0.127579	 SumSqErr = 1231.11
theta = -0.127479	 SumSqErr = 1229.19
theta = -0.127379	 SumSqErr = 1227.27
theta = -0.127279	 SumSqErr = 1225.35
theta = -0.127179	 SumSqErr = 1223.43
