
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-272.581μm	11.1182μm	81.593μm


theta = -0.132279	 SumSqErr = 1318.28

theta = -0.132179	 SumSqErr = 1316.29

theta = -0.132079	 SumSqErr = 1314.31

theta = -0.131979	 SumSqErr = 1312.32

theta = -0.131879	 SumSqErr = 1310.34

theta = -0.131779	 SumSqErr = 1308.35

theta = -0.131679	 SumSqErr = 1306.37

theta = -0.131579	 SumSqErr = 1304.39

theta = -0.131479	 SumSqErr = 1302.42

theta = -0.131379	 SumSqErr = 1300.44

theta = -0.131279	 SumSqErr = 1298.46

theta = -0.131179	 SumSqErr = 1296.49

theta = -0.131079	 SumSqErr = 1294.52

theta = -0.130979	 SumSqErr = 1292.55

theta = -0.130879	 SumSqErr = 1290.58

theta = -0.130779	 SumSqErr = 1288.61

theta = -0.130679	 SumSqErr = 1286.64

theta = -0.130579	 SumSqErr = 1284.68

theta = -0.130479	 SumSqErr = 1282.72

theta = -0.130379	 SumSqErr = 1280.75

theta = -0.130279	 SumSqErr = 1278.79

theta = -0.130179	 SumSqErr = 1276.83

theta = -0.130079	 SumSqErr = 1274.88

theta = -0.129979	 SumSqErr = 1272.92

theta = -0.129879	 SumSqErr = 1270.97

theta = -0.129779	 SumSqErr = 1269.01

theta = -0.129679	 SumSqErr = 1267.06

theta = -0.129579	 SumSqErr = 1265.11

theta = -0.129479	 SumSqErr = 1263.16

theta = -0.129379	 SumSqErr = 1261.21

theta = -0.129279	 SumSqErr = 1259.27

theta = -0.129179	 SumSqErr = 1257.32

theta = -0.129079	 SumSqErr = 1255.38

theta = -0.128979	 SumSqErr = 1253.44

theta = -0.128879	 SumSqErr = 1251.5

theta = -0.128779	 SumSqErr = 1249.56

theta = -0.128679	 SumSqErr = 1247.63

theta = -0.128579	 SumSqErr = 1245.69

theta = -0.128479	 SumSqErr = 1243.76

theta = -0.128379	 SumSqErr = 1241.83

theta = -0.128279	 SumSqErr = 1239.9

theta = -0.128179	 SumSqErr = 1237.97

theta = -0.128079	 SumSqErr = 1236.04

theta = -0.127979	 SumSqErr = 1234.12

theta = -0.127879	 SumSqErr = 1232.19

theta = -0.127779	 SumSqErr = 1230.27

theta = -0.127679	 SumSqErr = 1228.35

theta = -0.127579	 SumSqErr = 1226.43

theta = -0.127479	 SumSqErr = 1224.51

theta = -0.127379	 SumSqErr = 1222.59

theta = -0.127279	 SumSqErr = 1220.67

theta = -0.127179	 SumSqErr = 1218.76

theta = -0.127079	 SumSqErr = 1216.84

theta = -0.126979	 SumSqErr = 1214.94

theta = -0.126879	 SumSqErr = 1213.03

theta = -0.126779	 SumSqErr = 1211.12

theta = -0.126679	 SumSqErr = 1209.21

theta = -0.126579	 SumSqErr = 1207.31

theta = -0.126479	 SumSqErr = 1205.4

theta = -0.126379	 SumSqErr = 1203.5

theta = -0.126279	 SumSqErr = 1201.6

theta = -0.126179	 SumSqErr = 1199.7

theta = -0.126079	 SumSqErr = 1197.8

theta = -0.125979	 SumSqErr = 1195.91

theta = -0.125879	 SumSqErr = 1194.01

theta = -0.125779	 SumSqErr = 1192.12

theta = -0.125679	 SumSqErr = 1190.23

theta = -0.125579	 SumSqErr = 1188.34

theta = -0.125479	 SumSqErr = 1186.45

